,report,meta_info,href,category,sending_time
11,Graffiti,"14:11, 8 Mar 2007",https://www.fixmystreet.com/report/784,"Reported by Ray Lupton at 14:11, Thu  8 March 2007

;(there is no pin shown as the user did not use the map)","Sent to Glasgow City Council 1 day, 9 hours, 53 minutes later"
12,Graffiti,"16:10, 8 Mar 2007",https://www.fixmystreet.com/report/890,"Reported anonymously at 16:10, Thu  8 March 2007","Sent to Glasgow City Council 1 day, 7 hours, 55 minutes later"
13,Abandoned Fridge,"Fixed 16:38, 8 Mar 2007, last updated 22:21, 10 Jul 2013",https://www.fixmystreet.com/report/896,"Reported anonymously at 16:38, Thu  8 March 2007","Sent to Glasgow City Council 1 day, 7 hours, 27 minutes later"
14,Pot Holes,"08:47, 9 Mar 2007",https://www.fixmystreet.com/report/981,"Reported by Stuart McVicar at 08:47, Fri  9 March 2007","Sent to Glasgow City Council 15 hours, 18 minutes later"
15,Jordanhill Drive potholes,"12:16, 22 Mar 2007",https://www.fixmystreet.com/report/1709,"Reported in the Potholes category by G Hurr at 12:16, Thu 22 March 2007",Sent to Glasgow City Council 14 minutes later
16,Old Bins,"13:13, 26 Mar 2007",https://www.fixmystreet.com/report/1852,"Reported in the Rubbish (refuse and recycling) category by Graeme Macdonald at 13:13, Mon 26 March 2007",Sent to Glasgow City Council 17 minutes later
17,Graffiti,"Fixed 22:45, 16 Apr 2007, last updated 21:45, 22 Apr 2007",https://www.fixmystreet.com/report/2545,"Reported in the Graffiti category anonymously at 22:45, Mon 16 April 2007",Sent to Glasgow City Council 45 minutes later
18,Sectarian graffiti,"Fixed 21:01, 18 Apr 2007, last updated 19:07, 23 Apr 2007",https://www.fixmystreet.com/report/2642,"Reported in the Graffiti category anonymously at 21:01, Wed 18 April 2007",Sent to Glasgow City Council 28 minutes later
19,Litter,"18:49, 25 Apr 2007, last updated 21:45, 24 May 2007",https://www.fixmystreet.com/report/2972,"Reported in the Rubbish (refuse and recycling) category anonymously at 18:49, Wed 25 April 2007",Sent to Glasgow City Council less than a minute later
20,Disgusted,"09:40, 27 Apr 2007, last updated 13:25, 18 Mar 2008",https://www.fixmystreet.com/report/3422,"Reported in the Dog fouling category anonymously at 09:40, Fri 27 April 2007",Sent to Glasgow City Council 4 minutes later
21,Abandonded Car,"15:58, 9 May 2007",https://www.fixmystreet.com/report/3948,"Reported in the Abandoned vehicles category anonymously at 15:58, Wed  9 May 2007",Sent to Glasgow City Council 7 minutes later
22,Broken pavement,"18:06, 19 May 2007, last updated 18:33, 14 Jul 2012",https://www.fixmystreet.com/report/4394,"Reported in the Pavements/footpaths category by Una Milne at 18:06, Sat 19 May 2007",Sent to Glasgow City Council 3 minutes later
23,Huge pothole,"11:55, 20 May 2007, last updated 19:36, 17 Jun 2007",https://www.fixmystreet.com/report/4403,"Reported in the Potholes category anonymously at 11:55, Sun 20 May 2007",Sent to Glasgow City Council 4 minutes later
24,Pothole,"12:04, 20 May 2007, last updated 19:37, 17 Jun 2007",https://www.fixmystreet.com/report/4404,"Reported in the Potholes category anonymously at 12:04, Sun 20 May 2007",Sent to Glasgow City Council less than a minute later
25,Land adjacent to new flats,"20:58, 22 May 2007, last updated 09:43, 20 Jun 2007",https://www.fixmystreet.com/report/4533,"Reported in the Rubbish (refuse and recycling) category by Robin Graham at 20:58, Tue 22 May 2007",Sent to Glasgow City Council 2 minutes later
26,Bad road surface,"Fixed 11:19, 23 May 2007, last updated 10:42, 20 Aug 2007",https://www.fixmystreet.com/report/4558,"Reported in the Roads/highways category by S Bell at 11:19, Wed 23 May 2007",Sent to Glasgow City Council 1 minute later
27,Multiple potholes,"Fixed 18:45, 23 May 2007, last updated 10:45, 21 Jun 2007",https://www.fixmystreet.com/report/4582,"Reported in the Potholes category by Bill Devlin at 18:45, Wed 23 May 2007",Sent to Glasgow City Council 5 minutes later
28,Out of control trees,"14:27, 24 May 2007, last updated 15:10, 21 Jun 2007",https://www.fixmystreet.com/report/4615,"Reported in the Trees category anonymously at 14:27, Thu 24 May 2007",Sent to Glasgow City Council 7 minutes later
29,Missing drain cover,"Fixed 17:18, 26 May 2007, last updated 22:34, 8 Jun 2007",https://www.fixmystreet.com/report/4680,"Reported in the Pavements/footpaths category anonymously at 17:18, Sat 26 May 2007",Sent to Glasgow City Council 2 minutes later
30,"Fridge lying for weeks, bags of rubbish etc","20:43, 26 May 2007",https://www.fixmystreet.com/report/4690,"Reported in the Rubbish (refuse and recycling) category anonymously at 20:43, Sat 26 May 2007",Sent to Glasgow City Council 1 minute later
31,135 Earl Street Graffitti,"20:45, 26 May 2007",https://www.fixmystreet.com/report/4689,"Reported in the Graffiti category anonymously at 20:45, Sat 26 May 2007",Sent to Glasgow City Council 5 minutes later
32,Prevention of future faeces,"09:56, 1 Jun 2007",https://www.fixmystreet.com/report/4885,"Reported in the Dog fouling category by carolanne speirs at 09:56, Fri  1 June 2007",Sent to Glasgow City Council 4 minutes later
33,Persistent dog fouling,"14:32, 5 Jun 2007",https://www.fixmystreet.com/report/5025,"Reported in the Dog fouling category by Cardonald Resident at 14:32, Tue  5 June 2007

;(there is no pin shown as the user did not use the map)",Sent to Glasgow City Council 3 minutes later
34,"Potholes, broken and rutted carriageway","Fixed 14:53, 20 Jun 2007, last updated 09:54, 10 Mar 2009",https://www.fixmystreet.com/report/5594,"Reported in the Roads/highways category by Derek Manson-Smith at 14:53, Wed 20 June 2007",Sent to Glasgow City Council 1 minute later
35,How do I stop this?,"21:22, 24 Jun 2007, last updated 11:09, 20 Aug 2007",https://www.fixmystreet.com/report/5746,"Reported in the Dog fouling category anonymously at 21:22, Sun 24 June 2007",Sent to Glasgow City Council 2 minutes later
36,Littering,"Fixed 08:43, 25 Jun 2007, last updated 13:55, 3 Jul 2007",https://www.fixmystreet.com/report/5751,"Reported anonymously at 08:43, Mon 25 June 2007",Sent to Glasgow City Council 2 minutes later
37,Mains water leak,"13:56, 18 Jul 2007, last updated 14:37, 15 Aug 2007",https://www.fixmystreet.com/report/6457,"Reported anonymously at 13:56, Wed 18 July 2007",Sent to Glasgow City Council 3 minutes later
38,Mains water leak,"14:01, 18 Jul 2007",https://www.fixmystreet.com/report/6458,"Reported anonymously at 14:01, Wed 18 July 2007",Sent to Glasgow City Council 3 minutes later
39,Rubbish Bins,"22:56, 6 Aug 2007, last updated 22:29, 13 Aug 2007",https://www.fixmystreet.com/report/7236,"Reported in the Rubbish (refuse and recycling) category anonymously at 22:56, Mon  6 August 2007",Sent to Glasgow City Council 4 minutes later
40,[edited for privacy - details sent to council],"13:18, 12 Aug 2007",https://www.fixmystreet.com/report/7409,"Reported in the Rubbish (refuse and recycling) category anonymously at 13:18, Sun 12 August 2007",Sent to Glasgow City Council 2 minutes later
41,[edited for privacy - details sent to council],"13:29, 12 Aug 2007",https://www.fixmystreet.com/report/7411,"Reported in the Rubbish (refuse and recycling) category anonymously at 13:29, Sun 12 August 2007",Sent to Glasgow City Council 1 minute later
42,[edited for privacy - details sent to council],"09:49, 13 Aug 2007",https://www.fixmystreet.com/report/7434,"Reported in the Rubbish (refuse and recycling) category anonymously at 09:49, Mon 13 August 2007

;(there is no pin shown as the user did not use the map)",Sent to Glasgow City Council 1 minute later
43,[edited for privacy - details sent to council],"Fixed 09:50, 13 Aug 2007, last updated 18:13, 10 Sep 2007",https://www.fixmystreet.com/report/7433,"Reported in the Rubbish (refuse and recycling) category anonymously at 09:50, Mon 13 August 2007

;(there is no pin shown as the user did not use the map)",Sent to Glasgow City Council 5 minutes later
44,Ever Expanding Problem,"09:57, 13 Aug 2007",https://www.fixmystreet.com/report/7435,"Reported in the Rubbish (refuse and recycling) category anonymously at 09:57, Mon 13 August 2007",Sent to Glasgow City Council 2 minutes later
45,Footpath - cover missing,"Fixed 11:50, 13 Aug 2007, last updated 13:00, 10 Sep 2007",https://www.fixmystreet.com/report/7439,"Reported in the Pavements/footpaths category anonymously at 11:50, Mon 13 August 2007",Sent to Glasgow City Council 5 minutes later
46,Lamp post,"20:12, 13 Aug 2007",https://www.fixmystreet.com/report/7463,"Reported in the Street lighting category anonymously at 20:12, Mon 13 August 2007",Sent to Glasgow City Council 3 minutes later
47,Rubbish dumped outside back gardens,"21:36, 26 Aug 2007, last updated 12:44, 24 Sep 2007",https://www.fixmystreet.com/report/7870,"Reported in the Flytipping category anonymously at 21:36, Sun 26 August 2007",Sent to Glasgow City Council 4 minutes later
48,Persistent dog fouling,"21:37, 26 Aug 2007, last updated 13:12, 20 Feb 2008",https://www.fixmystreet.com/report/7869,"Reported in the Dog fouling category anonymously at 21:37, Sun 26 August 2007",Sent to Glasgow City Council 3 minutes later
49,Property developers clearing out flats onto street,"21:38, 26 Aug 2007, last updated 12:40, 24 Sep 2007",https://www.fixmystreet.com/report/7871,"Reported in the Parks/landscapes category anonymously at 21:38, Sun 26 August 2007",Sent to Glasgow City Council 1 minute later
50,Burst water main,"17:36, 1 Sep 2007",https://www.fixmystreet.com/report/8130,"Reported by francis kiernan at 17:36, Sat  1 September 2007",Sent to Glasgow City Council 4 minutes later
51,Dumping of rubbish,"Fixed 20:48, 2 Sep 2007, last updated 08:45, 7 Oct 2007",https://www.fixmystreet.com/report/8173,"Reported in the Flytipping category anonymously at 20:48, Sun  2 September 2007",Sent to Glasgow City Council 2 minutes later
52,Road Sweepers,"14:26, 6 Sep 2007, last updated 13:12, 5 Oct 2007",https://www.fixmystreet.com/report/7783,"Reported in the Street cleaning category anonymously at 14:26, Thu  6 September 2007

;(there is no pin shown as the user did not use the map)",Sent to Glasgow City Council 4 minutes later
53,Water and potholes,"16:08, 8 Oct 2007",https://www.fixmystreet.com/report/9498,"Reported in the Potholes category by John C at 16:08, Mon  8 October 2007",Sent to Glasgow City Council 2 minutes later
54,Rubbish in Lane,"01:50, 10 Oct 2007, last updated 16:31, 1 Apr 2008",https://www.fixmystreet.com/report/9533,"Reported in the Flytipping category anonymously at 01:50, Wed 10 October 2007",Sent to Glasgow City Council 4 minutes later
55,Excessive Vehicle Speed,"08:16, 10 Oct 2007, last updated 21:50, 7 Nov 2007",https://www.fixmystreet.com/report/9449,"Reported by Ken Cowan at 08:16, Wed 10 October 2007",Sent to Glasgow City Council 3 minutes later
56,Flytipping/rubbish dumping,"14:04, 16 Oct 2007, last updated 11:20, 18 Nov 2007",https://www.fixmystreet.com/report/9770,"Reported in the Flytipping category by Mr Mohammed at 14:04, Tue 16 October 2007",Sent to Glasgow City Council less than a minute later
57,Request for a notice to stop dogs fouling,"20:59, 20 Oct 2007",https://www.fixmystreet.com/report/9920,"Reported in the Dog fouling category anonymously at 20:59, Sat 20 October 2007",Sent to Glasgow City Council 1 minute later
58,General Debris,"07:41, 25 Oct 2007, last updated 12:11, 22 Nov 2007",https://www.fixmystreet.com/report/10063,"Reported in the Dog fouling category by David Lowrie at 07:41, Thu 25 October 2007",Sent to Glasgow City Council 4 minutes later
59,Recent re siting of bus stop ,"18:40, 2 Nov 2007, last updated 12:26, 12 Jan 2008",https://www.fixmystreet.com/report/10344,"Reported in the Bus stops category by Janice Lane at 18:40, Fri  2 November 2007",Sent to Glasgow City Council 4 minutes later
60,Fault with street lighting,"Fixed 08:19, 25 Nov 2007, last updated 16:25, 27 Dec 2007",https://www.fixmystreet.com/report/11054,"Reported in the Street lighting category anonymously at 08:19, Sun 25 November 2007",Sent to Glasgow City Council 1 minute later
61,Water and potholes,"18:38, 8 Dec 2007, last updated 22:00, 3 Feb 2008",https://www.fixmystreet.com/report/11436,"Reported in the Potholes category by John Collings at 18:38, Sat  8 December 2007",Sent to Glasgow City Council 1 minute later
62,Alarm,"23:16, 16 Dec 2007",https://www.fixmystreet.com/report/11851,"Reported by mr ahmed at 23:16, Sun 16 December 2007",Sent to Glasgow City Council 4 minutes later
63,Neighbours & dogs from other streets,"23:37, 18 Dec 2007",https://www.fixmystreet.com/report/12004,"Reported in the Dog fouling category anonymously at 23:37, Tue 18 December 2007

;(there is no pin shown as the user did not use the map)",Sent to Glasgow City Council 2 minutes later
64,Street light,"07:49, 19 Dec 2007, last updated 09:41, 16 Jan 2008",https://www.fixmystreet.com/report/11967,"Reported in the Street lighting category by D. MCAULAY at 07:49, Wed 19 December 2007",Sent to Glasgow City Council 1 minute later
65,School Railings,"11:27, 19 Dec 2007",https://www.fixmystreet.com/report/12022,"Reported by Bruce Whyte at 11:27, Wed 19 December 2007",Sent to Glasgow City Council 2 minutes later
66,Red blaze pitch,"11:28, 19 Dec 2007",https://www.fixmystreet.com/report/12020,"Reported by Bruce Whyte at 11:28, Wed 19 December 2007",Sent to Glasgow City Council 2 minutes later
67,Barking Dog at 08.00 every day,"12:00, 19 Dec 2007",https://www.fixmystreet.com/report/12031,"Reported anonymously at 12:00, Wed 19 December 2007",Sent to Glasgow City Council 3 minutes later
68,Private Taxis blaring horns,"13:35, 19 Dec 2007",https://www.fixmystreet.com/report/12029,"Reported anonymously at 13:35, Wed 19 December 2007",Sent to Glasgow City Council 4 minutes later
69,Light not working,"Fixed 16:50, 19 Dec 2007, last updated 23:34, 16 Jan 2008",https://www.fixmystreet.com/report/12044,"Reported in the Street lighting category anonymously at 16:50, Wed 19 December 2007",Sent to Glasgow City Council 4 minutes later
70,Litter,"00:44, 21 Dec 2007, last updated 18:39, 28 Mar 2008",https://www.fixmystreet.com/report/12127,"Reported anonymously at 00:44, Fri 21 December 2007",Sent to Glasgow City Council 1 minute later
71,Graffiti on Royal Mail collection box,"00:52, 21 Dec 2007, last updated 18:37, 28 Mar 2008",https://www.fixmystreet.com/report/12128,"Reported in the Graffiti category anonymously at 00:52, Fri 21 December 2007",Sent to Glasgow City Council 2 minutes later
72,Estate agents sign,"Fixed 15:19, 21 Dec 2007, last updated 13:46, 19 Jan 2008",https://www.fixmystreet.com/report/12167,"Reported anonymously at 15:19, Fri 21 December 2007",Sent to Glasgow City Council 1 minute later
73,3 faulty street lights,"16:07, 21 Dec 2007, last updated 20:40, 15 Apr 2008",https://www.fixmystreet.com/report/12156,"Reported in the Street lighting category anonymously at 16:07, Fri 21 December 2007

;(there is no pin shown as the user did not use the map)",Sent to Glasgow City Council 2 minutes later
74,Extension of yellow box marking,"23:52, 21 Dec 2007, last updated 09:59, 19 Jan 2008",https://www.fixmystreet.com/report/12176,"Reported in the Road traffic signs category by Walter Chalmers at 23:52, Fri 21 December 2007",Sent to Glasgow City Council 2 minutes later
75,Street needing swept of leaves,"14:08, 22 Dec 2007, last updated 19:43, 19 Jan 2008",https://www.fixmystreet.com/report/12177,"Reported in the Pavements/footpaths category anonymously at 14:08, Sat 22 December 2007",Sent to Glasgow City Council 2 minutes later
76,Pavement leading to train station,"Fixed 17:17, 22 Dec 2007, last updated 19:43, 19 Jan 2008",https://www.fixmystreet.com/report/12179,"Reported in the Pavements/footpaths category anonymously at 17:17, Sat 22 December 2007",Sent to Glasgow City Council 3 minutes later
77,Pigeon droppings,"23:44, 22 Dec 2007",https://www.fixmystreet.com/report/12201,"Reported anonymously at 23:44, Sat 22 December 2007",Sent to Glasgow City Council less than a minute later
78,Bollards,"02:02, 23 Dec 2007, last updated 19:21, 16 Mar 2008",https://www.fixmystreet.com/report/12205,"Reported in the Pavements/footpaths category anonymously at 02:02, Sun 23 December 2007",Sent to Glasgow City Council 2 minutes later
79,Dog fouling,"23:11, 23 Dec 2007, last updated 19:02, 21 Jan 2008",https://www.fixmystreet.com/report/12235,"Reported in the Dog fouling category by Ian Adam at 23:11, Sun 23 December 2007",Sent to Glasgow City Council 4 minutes later
80,Back court lighting,"17:03, 24 Dec 2007, last updated 12:30, 20 Feb 2008",https://www.fixmystreet.com/report/12256,"Reported anonymously at 17:03, Mon 24 December 2007",Sent to Glasgow City Council 2 minutes later
81,Continual dogfouling and obstructive bush,"17:19, 24 Dec 2007, last updated 12:29, 20 Feb 2008",https://www.fixmystreet.com/report/12258,"Reported in the Dog fouling category anonymously at 17:19, Mon 24 December 2007",Sent to Glasgow City Council 1 minute later
82,Litter in front gardens in Bangorshill Street,"Fixed 17:31, 24 Dec 2007, last updated 12:31, 20 Feb 2008",https://www.fixmystreet.com/report/12259,"Reported in the Rubbish (refuse and recycling) category anonymously at 17:31, Mon 24 December 2007",Sent to Glasgow City Council 4 minutes later
83,"Midcroft Avenue, Croftfoot","Fixed 22:11, 27 Dec 2007, last updated 20:01, 25 Mar 2008",https://www.fixmystreet.com/report/12342,"Reported in the Graffiti category by J Cooke at 22:11, Thu 27 December 2007",Sent to Glasgow City Council 4 minutes later
84,Glass everywhere,"22:28, 27 Dec 2007",https://www.fixmystreet.com/report/12339,"Reported in the Street cleaning category anonymously at 22:28, Thu 27 December 2007

;(there is no pin shown as the user did not use the map)",Sent to Glasgow City Council 1 minute later
85,Badly placed slabs,"22:30, 27 Dec 2007, last updated 15:53, 21 Mar 2008",https://www.fixmystreet.com/report/12338,"Reported in the Pavements/footpaths category anonymously at 22:30, Thu 27 December 2007

;(there is no pin shown as the user did not use the map)",Sent to Glasgow City Council 5 minutes later
86,2 'abandoned' vehicles,"21:12, 29 Dec 2007, last updated 09:50, 25 Feb 2008",https://www.fixmystreet.com/report/12434,"Reported in the Abandoned vehicles category anonymously at 21:12, Sat 29 December 2007",Sent to Glasgow City Council 3 minutes later
87,Accidents At Junction ,"14:11, 30 Dec 2007, last updated 15:13, 24 Feb 2008",https://www.fixmystreet.com/report/12454,"Reported in the Traffic lights category by Jill Ferguson at 14:11, Sun 30 December 2007",Sent to Glasgow City Council 3 minutes later
88,Dog Fouling,"Fixed 02:41, 31 Dec 2007, last updated 00:54, 24 Jun 2008",https://www.fixmystreet.com/report/12481,"Reported in the Dog fouling category by PAUL F NEEDHAM at 02:41, Mon 31 December 2007",Sent to Glasgow City Council 4 minutes later
89,Speeding Offences ,"02:58, 31 Dec 2007, last updated 14:20, 4 Aug 2008",https://www.fixmystreet.com/report/12482,"Reported by PAUL F NEEDHAM at 02:58, Mon 31 December 2007",Sent to Glasgow City Council 2 minutes later
90,Squint Traffic Lights,"20:07, 31 Dec 2007",https://www.fixmystreet.com/report/12525,"Reported in the Street lighting category by Jill F at 20:07, Mon 31 December 2007",Sent to Glasgow City Council 3 minutes later
91,Potholes At Partick Housing Assoc Development,"20:18, 31 Dec 2007",https://www.fixmystreet.com/report/12526,"Reported in the Potholes category by Jill F at 20:18, Mon 31 December 2007",Sent to Glasgow City Council 2 minutes later
92,Broken Glass ,"12:55, 1 Jan 2008",https://www.fixmystreet.com/report/12538,"Reported in the Parks/landscapes category anonymously at 12:55, Tue  1 January 2008",Sent to Glasgow City Council 4 minutes later
93,Rubbish dumped,"Fixed 19:24, 2 Jan 2008, last updated 09:01, 20 Mar 2008",https://www.fixmystreet.com/report/12446,"Reported in the Rubbish (refuse and recycling) category by philip liddle at 19:24, Wed  2 January 2008",Sent to Glasgow City Council 6 minutes later
94,Burst water pipe?,"Fixed 19:48, 2 Jan 2008, last updated 13:12, 1 Mar 2008",https://www.fixmystreet.com/report/12624,"Reported anonymously at 19:48, Wed  2 January 2008",Sent to Glasgow City Council 2 minutes later
95,Ripped tyre,"Fixed 11:47, 3 Jan 2008, last updated 12:55, 1 Feb 2008",https://www.fixmystreet.com/report/12639,"Reported in the Potholes category by Deborah Mak at 11:47, Thu  3 January 2008",Sent to Glasgow City Council 2 minutes later
96,Dog poo,"12:41, 3 Jan 2008",https://www.fixmystreet.com/report/12668,"Reported in the Dog fouling category anonymously at 12:41, Thu  3 January 2008",Sent to Glasgow City Council 4 minutes later
97,Regular water flow over pavement at Cowdenhill Road/Great Western Road,"10:26, 4 Jan 2008, last updated 15:43, 20 Jun 2008",https://www.fixmystreet.com/report/12718,"Reported in the Pavements/footpaths category anonymously at 10:26, Fri  4 January 2008",Sent to Glasgow City Council 3 minutes later
98,Who's job is it ?,"19:00, 4 Jan 2008, last updated 15:49, 2 Mar 2008",https://www.fixmystreet.com/report/12743,"Reported in the Street cleaning category by Alex Gray at 19:00, Fri  4 January 2008",Sent to Glasgow City Council 5 minutes later
99,Speeding,"22:30, 4 Jan 2008, last updated 16:22, 3 Feb 2008",https://www.fixmystreet.com/report/12751,"Reported anonymously at 22:30, Fri  4 January 2008",Sent to Glasgow City Council 5 minutes later
100,Rubbish in back garden,"19:02, 6 Jan 2008, last updated 19:36, 2 Apr 2008",https://www.fixmystreet.com/report/12831,"Reported in the Rubbish (refuse and recycling) category by John  at 19:02, Sun  6 January 2008",Sent to Glasgow City Council 3 minutes later
101,Leaving maukinfauld road,"14:59, 7 Jan 2008, last updated 20:33, 8 Jan 2009",https://www.fixmystreet.com/report/12909,"Reported in the Roads/highways category by john mcmullen at 14:59, Mon  7 January 2008",Sent to Glasgow City Council 1 minute later
102,Hole in road,"19:30, 7 Jan 2008",https://www.fixmystreet.com/report/12936,"Reported in the Potholes category anonymously at 19:30, Mon  7 January 2008",Sent to Glasgow City Council 4 minutes later
103,Deep pothole at roundabout,"Fixed 21:37, 7 Jan 2008, last updated 13:59, 14 Feb 2008",https://www.fixmystreet.com/report/12949,"Reported in the Roads/highways category by Christopher Orr at 21:37, Mon  7 January 2008",Sent to Glasgow City Council 2 minutes later
104,Dog mess,"09:17, 8 Jan 2008, last updated 09:39, 5 Feb 2008",https://www.fixmystreet.com/report/12959,"Reported in the Dog fouling category anonymously at 09:17, Tue  8 January 2008",Sent to Glasgow City Council 3 minutes later
105,Dog fouling - ,"12:45, 8 Jan 2008",https://www.fixmystreet.com/report/12972,"Reported in the Dog fouling category by Zoe Wicomb  at 12:45, Tue  8 January 2008",Sent to Glasgow City Council 4 minutes later
106,HUGE pothole,"09:55, 9 Jan 2008, last updated 10:06, 3 Sep 2008",https://www.fixmystreet.com/report/13041,"Reported in the Potholes category by Louis Cowan at 09:55, Wed  9 January 2008",Sent to Glasgow City Council 4 minutes later
107,Electricity Box,"16:37, 10 Jan 2008, last updated 11:43, 27 Mar 2008",https://www.fixmystreet.com/report/13146,"Reported anonymously at 16:37, Thu 10 January 2008",Sent to Glasgow City Council 3 minutes later
108,Drain,"Fixed 20:35, 10 Jan 2008, last updated 09:29, 18 Jan 2008",https://www.fixmystreet.com/report/13156,"Reported anonymously at 20:35, Thu 10 January 2008",Sent to Glasgow City Council 5 minutes later
109, parking at school,"21:50, 10 Jan 2008, last updated 11:18, 7 Mar 2008",https://www.fixmystreet.com/report/13150,"Reported in the Car parking category anonymously at 21:50, Thu 10 January 2008",Sent to Glasgow City Council 5 minutes later
110,Potholes,"19:56, 11 Jan 2008, last updated 18:44, 10 Feb 2008",https://www.fixmystreet.com/report/13215,"Reported in the Potholes category by Dillon Corriander at 19:56, Fri 11 January 2008",Sent to Glasgow City Council 3 minutes later
111,Council's bulk uplift not done to programme,"01:04, 12 Jan 2008",https://www.fixmystreet.com/report/13214,"Reported in the Rubbish (refuse and recycling) category by B Lillicrap at 01:04, Sat 12 January 2008",Sent to Glasgow City Council less than a minute later
112,Damaged Railings,"14:23, 12 Jan 2008, last updated 20:40, 8 Mar 2008",https://www.fixmystreet.com/report/13267,"Reported anonymously at 14:23, Sat 12 January 2008",Sent to Glasgow City Council 1 minute later
113,'Markus Roth' Grey Van ,"Fixed 14:30, 13 Jan 2008, last updated 21:23, 10 Mar 2008",https://www.fixmystreet.com/report/13345,"Reported in the Abandoned vehicles category anonymously at 14:30, Sun 13 January 2008",Sent to Glasgow City Council 5 minutes later
114,Untaxed car blocking private parking spaces,"Fixed 19:33, 13 Jan 2008, last updated 22:39, 10 Feb 2008",https://www.fixmystreet.com/report/13010,"Reported in the Abandoned vehicles category anonymously at 19:33, Sun 13 January 2008",Sent to Glasgow City Council 1 minute later
115,Street light not working,"Fixed 19:17, 14 Jan 2008, last updated 22:53, 12 Feb 2008",https://www.fixmystreet.com/report/13369,"Reported in the Street lighting category by Iain Hannah at 19:17, Mon 14 January 2008",Sent to Glasgow City Council 3 minutes later
116,Persistant Dog Fouling ,"09:23, 15 Jan 2008",https://www.fixmystreet.com/report/13397,"Reported in the Dog fouling category by Mrs Lee Elsby  at 09:23, Tue 15 January 2008",Sent to Glasgow City Council 2 minutes later
117,Is there ANY solution to this?,"20:35, 15 Jan 2008, last updated 07:15, 16 Mar 2008",https://www.fixmystreet.com/report/13526,"Reported in the Dog fouling category anonymously at 20:35, Tue 15 January 2008",Sent to Glasgow City Council 5 minutes later
118,Rubbish on Pavement,"Fixed 09:13, 16 Jan 2008, last updated 09:01, 17 Jan 2008",https://www.fixmystreet.com/report/13539,"Reported in the Flytipping category by Jim McDougall at 09:13, Wed 16 January 2008",Sent to Glasgow City Council 1 minute later
119,Speeding,"14:23, 16 Jan 2008, last updated 19:42, 15 Feb 2008",https://www.fixmystreet.com/report/13536,"Reported by Mr Thomas.Anderson at 14:23, Wed 16 January 2008

;(there is no pin shown as the user did not use the map)",Sent to Glasgow City Council 2 minutes later
120,Disgarded toys and furniture,"14:21, 17 Jan 2008",https://www.fixmystreet.com/report/13631,"Reported in the Rubbish (refuse and recycling) category by David wright at 14:21, Thu 17 January 2008",Sent to Glasgow City Council 4 minutes later
121,Dog fouling,"19:20, 17 Jan 2008",https://www.fixmystreet.com/report/13632,"Reported in the Dog fouling category anonymously at 19:20, Thu 17 January 2008",Sent to Glasgow City Council 5 minutes later
122,Drains,"09:33, 18 Jan 2008, last updated 13:42, 14 Mar 2008",https://www.fixmystreet.com/report/13696,"Reported anonymously at 09:33, Fri 18 January 2008",Sent to Glasgow City Council 1 minute later
